% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.445525195e+07 +6.445525195e+07 +6.445516406e+07 +6.445516406e+07 +3.1644e+00 -4.6069e+00
4 +4.705840582e+07 +4.705840582e+07 +4.705831793e+07 +4.705831793e+07 +3.1644e+00 -3.6069e+00
7 +2.176599290e+07 +2.176599290e+07 +2.176590501e+07 +2.176590501e+07 +3.1644e+00 -1.0691e+00
10 +3.500366931e+06 +3.500366931e+06 +3.500279041e+06 +3.500279041e+06 +3.1644e+00 +1.8568e+00
13 +4.972137357e+04 +4.972137357e+04 +4.963348357e+04 +4.963348357e+04 +3.1644e+00 +3.4236e+00
16 +2.021625986e+03 +2.021625986e+03 +1.933735986e+03 +1.933735986e+03 +3.1644e+00 +3.6893e+00
19 +1.486371512e+03 +1.486371512e+03 +1.398481512e+03 +1.398481512e+03 +3.1644e+00 +3.6095e+00
22 +6.116821067e+01 +6.116821067e+01 -2.672178933e+01 -2.672178933e+01 +3.1644e+00 +3.6377e+00
25 +2.392987953e+01 +2.392987953e+01 -6.396012047e+01 -6.396012047e+01 +3.1644e+00 +3.6419e+00
31 +8.813981758e+00 +8.813981758e+00 -7.907601824e+01 -7.907601824e+01 +3.1644e+00 +3.6450e+00
82 +5.077357959e+00 +5.077357959e+00 -8.281264204e+01 -8.281264204e+01 +2.3830e+00 +3.6460e+00
88 +1.074259106e+00 +1.074259106e+00 -8.681574089e+01 -8.681574089e+01 +5.8005e-01 +3.6466e+00
91 +6.558075281e-01 +6.558075281e-01 -8.723419247e+01 -8.723419247e+01 +7.3786e-01 +3.6462e+00
94 +7.835764872e-02 +7.835764872e-02 -8.781164235e+01 -8.781164235e+01 -3.4810e-02 +3.6457e+00
97 +2.479727596e-02 +2.479727596e-02 -8.786520272e+01 -8.786520272e+01 +1.2713e-01 +3.6457e+00
106 +7.173396809e-03 +7.173396809e-03 -8.788282660e+01 -8.788282660e+01 +2.7444e-01 +3.6457e+00
112 +4.482483327e-03 +4.482483327e-03 -8.788551752e+01 -8.788551752e+01 +2.9740e-01 +3.6456e+00
118 +3.319355231e-03 +3.319355231e-03 -8.788668064e+01 -8.788668064e+01 +2.9172e-01 +3.6456e+00
127 +1.928156900e-03 +1.928156900e-03 -8.788807184e+01 -8.788807184e+01 +2.7780e-01 +3.6456e+00
132 +1.584828654e-03 +1.584828654e-03 -8.788841517e+01 -8.788841517e+01 +2.7129e-01 +3.6456e+00
133 +8.999022680e-04 +8.999022680e-04 -8.788910010e+01 -8.788910010e+01 +2.6912e-01 +3.6456e+00
139 +4.278857575e-04 +4.278857575e-04 -8.788957211e+01 -8.788957211e+01 +2.5796e-01 +3.6456e+00
151 +3.775454438e-04 +3.775454438e-04 -8.788962245e+01 -8.788962245e+01 +2.4850e-01 +3.6456e+00
154 +1.067049130e-04 +1.067049130e-04 -8.788989330e+01 -8.788989330e+01 +2.4607e-01 +3.6456e+00
160 +6.501147283e-06 +6.501147283e-06 -8.788999350e+01 -8.788999350e+01 +2.4164e-01 +3.6456e+00
163 +5.834843080e-06 +5.834843080e-06 -8.788999417e+01 -8.788999417e+01 +2.4139e-01 +3.6456e+00
166 +3.621762659e-07 +3.621762659e-07 -8.788999964e+01 -8.788999964e+01 +2.3919e-01 +3.6456e+00
169 +7.581022032e-08 +7.581022032e-08 -8.788999992e+01 -8.788999992e+01 +2.3944e-01 +3.6456e+00
171 +5.880558263e-08 +5.880558263e-08 -8.788999994e+01 -8.788999994e+01 +2.3944e-01 +3.6456e+00
175 +3.049365205e-10 +3.049365205e-10 -8.789000000e+01 -8.789000000e+01 +2.3921e-01 +3.6456e+00
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.015074800e+07 +2.015074800e+07 +2.015106819e+07 +2.015106819e+07 -3.4263e+00 +2.1303e+00
4 +1.160420837e+07 +1.160420837e+07 +1.160452856e+07 +1.160452856e+07 -3.4263e+00 +1.1303e+00
7 +6.907442907e+06 +6.907442907e+06 +6.907763097e+06 +6.907763097e+06 -3.4263e+00 +1.3033e-01
10 +1.307806548e+05 +1.307806548e+05 +1.311008448e+05 +1.311008448e+05 -3.4262e+00 -1.9896e+00
13 +1.971273901e+04 +1.971273901e+04 +2.003292901e+04 +2.003292901e+04 -3.4262e+00 -2.2144e+00
19 +1.064125207e+03 +1.064125207e+03 +1.384315207e+03 +1.384315207e+03 -3.4262e+00 -2.3252e+00
22 +1.080832190e+02 +1.080832190e+02 +4.282732190e+02 +4.282732190e+02 -3.4262e+00 -2.3509e+00
25 +9.703623971e+00 +9.703623971e+00 +3.298936240e+02 +3.298936240e+02 -3.4262e+00 -2.3619e+00
79 +6.069452217e+00 +6.069452217e+00 +3.262594522e+02 +3.262594522e+02 -2.7002e+00 -2.3619e+00
82 +1.853772205e+00 +1.853772205e+00 +3.220437722e+02 +3.220437722e+02 -1.6814e+00 -2.3610e+00
88 +1.475555212e-01 +1.475555212e-01 +3.203375555e+02 +3.203375555e+02 -7.4524e-01 -2.3606e+00
91 +6.242630749e-02 +6.242630749e-02 +3.202524263e+02 +3.202524263e+02 -5.2690e-01 -2.3605e+00
94 +3.720695750e-02 +3.720695750e-02 +3.202272070e+02 +3.202272070e+02 -4.3244e-01 -2.3606e+00
103 +8.638476237e-03 +8.638476237e-03 +3.201986385e+02 +3.201986385e+02 -3.5197e-01 -2.3608e+00
