% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.921053522e+05 +2.921053522e+05 +2.921412522e+05 +2.921412522e+05 +1.8630e+00 -2.7516e+00 +1.0582e-01 -3.6736e+00 -2.6185e+00
7 +1.394837741e+05 +1.394837741e+05 +1.395196741e+05 +1.395196741e+05 +8.6298e-01 -2.8238e+00 +5.4149e-01 -2.8440e+00 -2.5566e+00
13 +6.025527148e+04 +6.025527148e+04 +6.029117148e+04 +6.029117148e+04 -1.3702e-01 -2.8961e+00 +9.7715e-01 -2.0144e+00 -2.4947e+00
19 +7.863305430e+03 +7.863305430e+03 +7.899205430e+03 +7.899205430e+03 -1.4132e+00 -2.8216e+00 +1.3197e+00 -3.8020e-01 -3.3441e+00
25 +9.998667726e+01 +9.998667726e+01 +1.358866773e+02 +1.358866773e+02 -1.5213e+00 -2.6775e+00 +1.1730e+00 +2.3334e-01 -4.1823e+00
91 +6.124173642e+01 +6.124173642e+01 +9.714173642e+01 +9.714173642e+01 -6.3135e-01 -2.1512e+00 +1.7470e+00 +1.3960e-02 -4.0800e+00
187 +3.595927268e+01 +3.595927268e+01 +7.185927268e+01 +7.185927268e+01 +2.2500e-01 -1.3835e+00 +2.7713e+00 +2.3895e-01 -3.9958e+00
205 +2.430717121e+01 +2.430717121e+01 +6.020717121e+01 +6.020717121e+01 +1.1465e+00 -4.1406e-01 +4.1408e+00 +7.1703e-01 -3.8984e+00
475 +1.576081099e+01 +1.576081099e+01 +5.166081099e+01 +5.166081099e+01 +1.5778e+00 -4.0370e-01 +3.9789e+00 +1.3345e+00 -3.3333e+00
565 +9.788609314e+00 +9.788609314e+00 +4.568860931e+01 +4.568860931e+01 +2.0100e+00 -3.6269e-01 +3.7956e+00 +1.9998e+00 -2.9076e+00
613 +5.103765667e+00 +5.103765667e+00 +4.100376567e+01 +4.100376567e+01 +2.2085e+00 +1.0527e-01 +3.4275e+00 +2.4384e+00 -2.4777e+00
619 +2.974968494e+00 +2.974968494e+00 +3.887496849e+01 +3.887496849e+01 +2.3243e+00 +3.7949e-01 +3.2119e+00 +2.6946e+00 -2.2263e+00
631 +1.533174587e+00 +1.533174587e+00 +3.743317459e+01 +3.743317459e+01 +2.4285e+00 +6.2630e-01 +3.0180e+00 +2.9252e+00 -2.0000e+00
637 +7.311489428e-01 +7.311489428e-01 +3.663114894e+01 +3.663114894e+01 +2.5223e+00 +8.4842e-01 +2.8434e+00 +3.1327e+00 -1.7964e+00
643 +3.627155245e-01 +3.627155245e-01 +3.626271552e+01 +3.626271552e+01 +2.5822e+00 +9.9035e-01 +2.7318e+00 +3.2653e+00 -1.6663e+00
649 +1.453954932e-01 +1.453954932e-01 +3.604539549e+01 +3.604539549e+01 +2.6421e+00 +1.1323e+00 +2.6203e+00 +3.3979e+00 -1.5362e+00
793 +9.943255226e-02 +9.943255226e-02 +3.599943255e+01 +3.599943255e+01 +2.6773e+00 +1.2094e+00 +2.5588e+00 +3.4685e+00 -1.4614e+00
817 +6.157420784e-02 +6.157420784e-02 +3.596157421e+01 +3.596157421e+01 +2.6946e+00 +1.1925e+00 +2.5638e+00 +3.4386e+00 -1.4387e+00
913 +2.425006570e-02 +2.425006570e-02 +3.592425007e+01 +3.592425007e+01 +2.7270e+00 +1.1782e+00 +2.5655e+00 +3.4182e+00 -1.4269e+00
919 +1.581921712e-02 +1.581921712e-02 +3.591581922e+01 +3.591581922e+01 +2.7472e+00 +1.1718e+00 +2.5654e+00 +3.4105e+00 -1.4240e+00
1159 +9.580501711e-03 +9.580501711e-03 +3.590958050e+01 +3.590958050e+01 +2.7630e+00 +1.1545e+00 +2.5734e+00 +3.4189e+00 -1.4282e+00
1177 +3.377743186e-03 +3.377743186e-03 +3.590337774e+01 +3.590337774e+01 +2.7730e+00 +1.1379e+00 +2.5805e+00 +3.4289e+00 -1.4336e+00
1183 +1.508072986e-03 +1.508072986e-03 +3.590150807e+01 +3.590150807e+01 +2.7818e+00 +1.1231e+00 +2.5867e+00 +3.4379e+00 -1.4384e+00
1297 +1.800638478e-04 +1.800638478e-04 +3.590018006e+01 +3.590018006e+01 +2.7825e+00 +1.1152e+00 +2.5872e+00 +3.4311e+00 -1.4305e+00
1309 +9.736661792e-05 +9.736661792e-05 +3.590009737e+01 +3.590009737e+01 +2.7823e+00 +1.1146e+00 +2.5871e+00 +3.4300e+00 -1.4293e+00
1399 +3.818583310e-05 +3.818583310e-05 +3.590003819e+01 +3.590003819e+01 +2.7812e+00 +1.1150e+00 +2.5866e+00 +3.4283e+00 -1.4278e+00
