% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.212631298e+03 +2.212631298e+03 +2.305571298e+03 +2.305571298e+03 +2.0240e+00 +4.3466e+00 -5.8803e-01 +3.4926e+00 +4.7772e+00 -4.6875e+00 -4.5511e+00 +4.6921e+00 +4.7303e+00 -4.1085e-01 -1.6673e+00 -9.0668e-01 -8.2435e-01 +3.3135e-01 -3.3607e+00 -1.0588e+00 +3.7891e+00 -4.9614e-01 +9.6966e-01 -5.4279e-01
211 +1.200312616e+03 +1.200312616e+03 +1.293252616e+03 +1.293252616e+03 -4.2408e+00 -1.1243e-01 -3.3004e+00 -2.6354e+00 +4.4718e-01 +2.1779e+00 +1.0393e+00 +3.8445e+00 +4.2504e+00 +1.6882e+00 +2.6217e+00 -2.8429e+00 +4.2049e+00 -3.7795e+00 +1.0364e-01 -1.6911e+00 +2.0409e+00 +3.3947e-01 -4.3725e+00 +2.9779e-01
673 +8.076247586e+02 +8.076247586e+02 +9.005647586e+02 +9.005647586e+02 +6.2002e-01 +5.2011e-01 -6.6933e-01 +3.2579e-01 -3.0316e+00 +2.8160e+00 +4.3049e+00 -1.1513e+00 -1.4817e+00 +3.7444e+00 -1.9340e+00 -4.0688e+00 +6.7560e-01 +1.1772e+00 -6.6659e-01 -4.2884e+00 +1.9922e+00 -1.2052e+00 +4.0682e-01 -1.5692e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.807139590e+03 +6.807139590e+03 +6.842489590e+03 +6.842489590e+03 -3.0460e+00 -3.6916e+00 -2.7411e+00 +2.8976e+00 +4.1690e-01 -8.1167e-01 -5.5915e-03 -3.0300e+00 -1.0911e+00 -4.3609e+00 -7.7754e-01 +1.9996e+00 -3.1509e+00 -4.0843e+00 -8.1060e-01 -4.3376e+00 -2.5810e+00 +4.7364e-01 -1.1148e+00 +1.1783e+00
22 +3.724232199e+03 +3.724232199e+03 +3.759582199e+03 +3.759582199e+03 -7.8709e-01 -2.4430e+00 +2.7033e+00 -4.2276e+00 +2.2977e+00 -2.0273e+00 -1.8690e+00 +3.6059e+00 -4.1118e+00 -1.2416e+00 +3.4288e+00 +3.7607e+00 -2.7359e+00 -3.9921e+00 +8.0066e-01 +2.7343e+00 +4.1677e+00 -3.3785e+00 +1.6814e+00 +8.9078e-01
85 +2.023316606e+03 +2.023316606e+03 +2.058666606e+03 +2.058666606e+03 -4.4824e+00 -1.9686e-01 +1.8025e+00 +2.4462e+00 +1.2293e+00 -3.3584e+00 -2.2781e-02 -4.3602e+00 -8.3236e-01 +9.4427e-01 -1.2320e+00 -9.9753e-01 +3.9879e+00 +2.7717e+00 -3.0065e+00 +3.5619e+00 -3.8430e+00 -2.5521e+00 +3.3810e+00 +3.3561e+00
589 +1.489386397e+03 +1.489386397e+03 +1.524736397e+03 +1.524736397e+03 +4.8446e+00 -2.8851e+00 +3.7480e+00 -1.5774e+00 +4.4021e+00 -3.3212e+00 +4.8787e+00 +2.0333e+00 +3.6061e+00 -4.9406e+00 +3.4064e+00 -4.5098e+00 +4.4548e+00 +1.5530e+00 +1.0123e+00 +2.2925e+00 +1.9944e+00 +8.8936e-01 -3.2993e+00 +1.6807e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.006954470e+03 +2.006954470e+03 +2.010774470e+03 +2.010774470e+03 +2.2696e+00 -3.5124e+00 -2.9231e+00 +6.0867e-01 -3.5984e-01 -4.0709e+00 -2.5193e+00 +4.2333e+00 +2.9279e+00 +2.1789e-01 +1.2241e+00 -1.9622e+00 -3.4758e+00 -5.1762e-01 +1.5393e+00 +4.7823e+00 +4.0288e+00 -2.7611e+00 +1.2008e+00 +4.4695e-01
