% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.769721242e+01 +1.769721242e+01 -2.673278758e+01 -2.673278758e+01 +4.8454e+00 -4.7441e+00 -4.8819e+00 +3.2757e+00 -1.8520e+00
13 +4.490380180e+00 +4.490380180e+00 -3.993961982e+01 -3.993961982e+01 +4.9732e+00 -4.8667e+00 -4.8887e+00 +3.4861e+00 -2.1739e+00
25 +2.881326699e+00 +2.881326699e+00 -4.154867330e+01 -4.154867330e+01 +5.0255e+00 -4.9016e+00 -4.9129e+00 +3.4878e+00 -2.2236e+00
979 +2.495048929e+00 +2.495048929e+00 -4.193495107e+01 -4.193495107e+01 +4.1727e+00 -2.5510e+00 +1.5082e+00 +3.9620e+00 -3.4553e+00
6079 +1.440108904e+00 +1.440108904e+00 -4.298989110e+01 -4.298989110e+01 +4.6149e+00 +2.6682e+00 -4.1966e+00 -4.1562e+00 +5.8318e-01
6109 +9.834009534e-01 +9.834009534e-01 -4.344659905e+01 -4.344659905e+01 +4.6138e+00 +2.6687e+00 -4.1972e+00 -4.1587e+00 +5.8161e-01
6457 +5.528128765e-01 +5.528128765e-01 -4.387718712e+01 -4.387718712e+01 +4.6155e+00 +2.6663e+00 -4.1950e+00 -4.1612e+00 +5.7990e-01
6463 +3.903530756e-01 +3.903530756e-01 -4.403964692e+01 -4.403964692e+01 +4.6161e+00 +2.6660e+00 -4.1941e+00 -4.1621e+00 +5.7931e-01
% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.895165504e+01 +1.895165504e+01 +2.582165504e+01 +2.582165504e+01 -2.5871e+00 +2.7120e+00 +4.5357e+00 +8.9466e-01 -1.1034e-01
31 +1.108100939e+01 +1.108100939e+01 +1.795100939e+01 +1.795100939e+01 -2.5972e+00 +2.7061e+00 +4.5376e+00 +8.8649e-01 -1.1524e-01
43 +9.148670115e+00 +9.148670115e+00 +1.601867012e+01 +1.601867012e+01 -2.5980e+00 +2.7066e+00 +4.5375e+00 +8.8574e-01 -1.1564e-01
235 +4.424489277e+00 +4.424489277e+00 +1.129448928e+01 +1.129448928e+01 -2.5374e+00 -6.3684e-01 -4.5657e+00 -3.7635e+00 -2.4306e+00
2467 +3.869398382e+00 +3.869398382e+00 +1.073939838e+01 +1.073939838e+01 +4.0094e+00 +3.3477e+00 -4.1869e+00 -3.5719e+00 +3.7611e+00
2491 +2.353329137e+00 +2.353329137e+00 +9.223329137e+00 +9.223329137e+00 +4.0097e+00 +3.3496e+00 -4.1866e+00 -3.5678e+00 +3.7523e+00
10555 +1.555416346e+00 +1.555416346e+00 +8.425416346e+00 +8.425416346e+00 -3.3190e+00 +3.1039e-01 +3.9572e+00 +7.1764e-01 +3.2646e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.237096900e+01 +1.237096900e+01 +1.238096900e+01 +1.238096900e+01 +1.1348e+00 +1.5800e-02 -4.2061e+00 -3.0168e-01 +4.7664e+00
109 +5.563575584e+00 +5.563575584e+00 +5.573575584e+00 +5.573575584e+00 +1.1541e+00 +3.1500e-02 -4.2359e+00 -3.0216e-01 +4.7771e+00
571 +3.887280914e+00 +3.887280914e+00 +3.897280914e+00 +3.897280914e+00 -1.7882e+00 -4.0370e+00 +1.9873e+00 +3.3274e+00 +1.0912e+00
2017 +1.797139554e+00 +1.797139554e+00 +1.807139554e+00 +1.807139554e+00 -1.3435e+00 -3.5188e+00 -2.9163e+00 +3.1382e+00 +1.8658e-01
2035 +1.199997182e+00 +1.199997182e+00 +1.209997182e+00 +1.209997182e+00 -1.3420e+00 -3.5196e+00 -2.9153e+00 +3.1386e+00 +1.8766e-01
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.117343728e+01 +1.117343728e+01 -1.194365627e+02 -1.194365627e+02 +3.5491e+00 +1.8468e+00 +2.5821e+00 -4.9731e+00 -1.8463e+00
25 +9.997554129e+00 +9.997554129e+00 -1.206124459e+02 -1.206124459e+02 +3.5486e+00 +1.8491e+00 +2.5869e+00 -4.9751e+00 -1.8460e+00
1045 +5.292581300e+00 +5.292581300e+00 -1.253174187e+02 -1.253174187e+02 +1.5371e+00 -2.6177e+00 -4.9578e+00 +9.2610e-01 +2.1800e+00
2353 +3.402456456e+00 +3.402456456e+00 -1.272075435e+02 -1.272075435e+02 -2.3955e+00 +1.3553e-01 -3.2491e+00 +9.5451e-01 +3.9044e+00
4213 +2.250710720e+00 +2.250710720e+00 -1.283592893e+02 -1.283592893e+02 +3.5271e+00 -3.8588e+00 +4.8257e+00 -4.8193e+00 +1.9938e+00
5767 +1.194687194e+00 +1.194687194e+00 -1.294153128e+02 -1.294153128e+02 +1.3575e+00 -8.5639e-01 +4.0154e+00 -1.5749e+00 -2.5025e-01
18973 +9.036859880e-01 +9.036859880e-01 -1.297063140e+02 -1.297063140e+02 +4.9759e+00 -2.2834e+00 +4.0025e+00 +7.8009e-01 -4.6832e+00
19009 +5.922209945e-01 +5.922209945e-01 -1.300177790e+02 -1.300177790e+02 +4.9734e+00 -2.2806e+00 +4.0033e+00 +7.8080e-01 -4.6802e+00
