% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
37 +8.652363605e-01 +8.652363605e-01 +7.817523636e+01 +7.817523636e+01 +1.7069e+00 -1.2267e+00
46 +9.317980285e-02 +9.317980285e-02 +7.740317980e+01 +7.740317980e+01 +8.7625e-01 -1.0607e+00
58 +6.686296343e-03 +6.686296343e-03 +7.731668630e+01 +7.731668630e+01 +8.9376e-01 -7.4589e-01
67 +2.824222712e-03 +2.824222712e-03 +7.731282422e+01 +7.731282422e+01 +8.8770e-01 -7.4893e-01
76 +1.080878503e-03 +1.080878503e-03 +7.731108088e+01 +7.731108088e+01 +8.9519e-01 -6.2787e-01
79 +8.680282375e-04 +8.680282375e-04 +7.731086803e+01 +7.731086803e+01 +8.9395e-01 -6.1492e-01
82 +4.918482567e-05 +4.918482567e-05 +7.731004918e+01 +7.731004918e+01 +8.9447e-01 -6.2036e-01
88 +5.708254079e-06 +5.708254079e-06 +7.731000571e+01 +7.731000571e+01 +8.9450e-01 -6.2065e-01
94 +2.136065973e-06 +2.136065973e-06 +7.731000214e+01 +7.731000214e+01 +8.9450e-01 -6.2069e-01
112 +1.092889917e-06 +1.092889917e-06 +7.731000109e+01 +7.731000109e+01 +8.9463e-01 -6.1828e-01
256 +3.661399006e-07 +3.661399006e-07 +7.731000037e+01 +7.731000037e+01 +8.9558e-01 -6.0117e-01
394 +1.139241448e-07 +1.139241448e-07 +7.731000011e+01 +7.731000011e+01 +8.9546e-01 -6.0320e-01
805 +4.669244902e-08 +4.669244902e-08 +7.731000005e+01 +7.731000005e+01 +8.9503e-01 -6.1109e-01
814 +3.452316832e-08 +3.452316832e-08 +7.731000003e+01 +7.731000003e+01 +8.9503e-01 -6.1115e-01
1072 +3.717175900e-09 +3.717175900e-09 +7.731000000e+01 +7.731000000e+01 +8.9518e-01 -6.0842e-01
1080 +2.002607857e-09 +2.002607857e-09 +7.731000000e+01 +7.731000000e+01 +8.9518e-01 -6.0842e-01
1082 +1.256083237e-09 +1.256083237e-09 +7.731000000e+01 +7.731000000e+01 +8.9518e-01 -6.0843e-01
% function evaluation | noise-free fitness - Fopt (3.992000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.517691049e+01 +2.517691049e+01 +6.509691049e+01 +6.509691049e+01 +4.4062e+00 +2.0987e+00
4 +6.894845577e+00 +6.894845577e+00 +4.681484558e+01 +4.681484558e+01 +4.6828e+00 +1.0987e+00
7 +2.041895800e+00 +2.041895800e+00 +4.196189580e+01 +4.196189580e+01 +4.8567e+00 +3.9753e-01
10 +1.347093747e+00 +1.347093747e+00 +4.126709375e+01 +4.126709375e+01 +4.8810e+00 +6.9171e-02
16 +8.162287417e-01 +8.162287417e-01 +4.073622874e+01 +4.073622874e+01 +4.6373e+00 -4.9933e-01
19 +2.953118208e-01 +2.953118208e-01 +4.021531182e+01 +4.021531182e+01 +3.9227e+00 -1.7040e+00
22 +7.451994728e-02 +7.451994728e-02 +3.999451995e+01 +3.999451995e+01 +4.1031e+00 -1.3999e+00
34 +4.588409064e-02 +4.588409064e-02 +3.996588409e+01 +3.996588409e+01 +4.0537e+00 -1.4105e+00
37 +2.830689578e-02 +2.830689578e-02 +3.994830690e+01 +3.994830690e+01 +3.9712e+00 -1.2476e+00
40 +7.007290443e-03 +7.007290443e-03 +3.992700729e+01 +3.992700729e+01 +3.9982e+00 -1.2196e+00
46 +3.695639870e-03 +3.695639870e-03 +3.992369564e+01 +3.992369564e+01 +3.9922e+00 -1.2182e+00
