% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (2.997000000000e+001) | measured fitness | best measured fitness | x1 | x2...
1 0 +3.101975464e+003 +3.101975464e+003 +3.131945464e+003 +3.131945464e+003
2 0 +2.916953997e+003 +2.916953997e+003 +2.946923997e+003 +2.946923997e+003
6 0 +2.720749662e+003 +2.720749662e+003 +2.750719662e+003 +2.750719662e+003
37 0 +2.677193946e+003 +2.677193946e+003 +2.707163946e+003 +2.707163946e+003
102 0 +2.560880638e+003 +2.560880638e+003 +2.590850638e+003 +2.590850638e+003
127 0 +2.413781068e+003 +2.413781068e+003 +2.443751068e+003 +2.443751068e+003
237 0 +2.368745189e+003 +2.368745189e+003 +2.398715189e+003 +2.398715189e+003
259 0 +2.272142261e+003 +2.272142261e+003 +2.302112261e+003 +2.302112261e+003
1163 0 +2.138631741e+003 +2.138631741e+003 +2.168601741e+003 +2.168601741e+003
1517 0 +2.107213792e+003 +2.107213792e+003 +2.137183792e+003 +2.137183792e+003
1537 0 +2.032343423e+003 +2.032343423e+003 +2.062313423e+003 +2.062313423e+003
1589 0 +1.829887169e+003 +1.829887169e+003 +1.859857169e+003 +1.859857169e+003
1710 0 +1.740569615e+003 +1.740569615e+003 +1.770539615e+003 +1.770539615e+003
1823 0 +1.620275268e+003 +1.620275268e+003 +1.650245268e+003 +1.650245268e+003
1987 0 +1.543616694e+003 +1.543616694e+003 +1.573586694e+003 +1.573586694e+003
2039 0 +1.470824474e+003 +1.470824474e+003 +1.500794474e+003 +1.500794474e+003
2205 0 +1.434521867e+003 +1.434521867e+003 +1.464491867e+003 +1.464491867e+003
2306 0 +1.205292139e+003 +1.205292139e+003 +1.235262139e+003 +1.235262139e+003
2405 0 +1.046185751e+003 +1.046185751e+003 +1.076155751e+003 +1.076155751e+003
2555 0 +9.918361493e+002 +9.918361493e+002 +1.021806149e+003 +1.021806149e+003
2611 0 +9.100982938e+002 +9.100982938e+002 +9.400682938e+002 +9.400682938e+002
2661 0 +8.638616633e+002 +8.638616633e+002 +8.938316633e+002 +8.938316633e+002
2801 0 +7.638389378e+002 +7.638389378e+002 +7.938089378e+002 +7.938089378e+002
2869 0 +7.260192908e+002 +7.260192908e+002 +7.559892908e+002 +7.559892908e+002
2926 0 +7.080659997e+002 +7.080659997e+002 +7.380359997e+002 +7.380359997e+002
2937 0 +6.884066277e+002 +6.884066277e+002 +7.183766277e+002 +7.183766277e+002
3014 0 +6.643406615e+002 +6.643406615e+002 +6.943106615e+002 +6.943106615e+002
3021 0 +6.003282669e+002 +6.003282669e+002 +6.302982669e+002 +6.302982669e+002
3197 0 +5.744124376e+002 +5.744124376e+002 +6.043824376e+002 +6.043824376e+002
3201 0 +5.601574068e+002 +5.601574068e+002 +5.901274068e+002 +5.901274068e+002
3210 0 +5.386563998e+002 +5.386563998e+002 +5.686263998e+002 +5.686263998e+002
3286 0 +5.319002210e+002 +5.319002210e+002 +5.618702210e+002 +5.618702210e+002
3325 0 +5.105903645e+002 +5.105903645e+002 +5.405603645e+002 +5.405603645e+002
3332 0 +4.795996909e+002 +4.795996909e+002 +5.095696909e+002 +5.095696909e+002
3355 0 +4.680150630e+002 +4.680150630e+002 +4.979850630e+002 +4.979850630e+002
3507 0 +4.137599771e+002 +4.137599771e+002 +4.437299771e+002 +4.437299771e+002
3559 0 +3.881584610e+002 +3.881584610e+002 +4.181284610e+002 +4.181284610e+002
3754 0 +3.761467065e+002 +3.761467065e+002 +4.061167065e+002 +4.061167065e+002
3843 0 +3.650849205e+002 +3.650849205e+002 +3.950549205e+002 +3.950549205e+002
3900 0 +3.500570167e+002 +3.500570167e+002 +3.800270167e+002 +3.800270167e+002
3911 0 +3.399744732e+002 +3.399744732e+002 +3.699444732e+002 +3.699444732e+002
4207 0 +3.386171848e+002 +3.386171848e+002 +3.685871848e+002 +3.685871848e+002
4368 0 +3.156299505e+002 +3.156299505e+002 +3.455999505e+002 +3.455999505e+002
4403 0 +2.917876383e+002 +2.917876383e+002 +3.217576383e+002 +3.217576383e+002
4520 0 +2.840622887e+002 +2.840622887e+002 +3.140322887e+002 +3.140322887e+002
4613 0 +2.674342240e+002 +2.674342240e+002 +2.974042240e+002 +2.974042240e+002
4773 0 +2.605309310e+002 +2.605309310e+002 +2.905009310e+002 +2.905009310e+002
4897 0 +2.541102697e+002 +2.541102697e+002 +2.840802697e+002 +2.840802697e+002
4945 0 +2.171393941e+002 +2.171393941e+002 +2.471093941e+002 +2.471093941e+002
5208 0 +2.133503111e+002 +2.133503111e+002 +2.433203111e+002 +2.433203111e+002
5242 0 +2.054212910e+002 +2.054212910e+002 +2.353912910e+002 +2.353912910e+002
5249 0 +1.876693013e+002 +1.876693013e+002 +2.176393013e+002 +2.176393013e+002
5258 0 +1.853938032e+002 +1.853938032e+002 +2.153638032e+002 +2.153638032e+002
5289 0 +1.728944381e+002 +1.728944381e+002 +2.028644381e+002 +2.028644381e+002
5808 0 +1.563813429e+002 +1.563813429e+002 +1.863513429e+002 +1.863513429e+002
6249 0 +1.416458107e+002 +1.416458107e+002 +1.716158107e+002 +1.716158107e+002
6445 0 +1.409248248e+002 +1.409248248e+002 +1.708948248e+002 +1.708948248e+002
6478 0 +1.264067791e+002 +1.264067791e+002 +1.563767791e+002 +1.563767791e+002
6658 0 +1.257717848e+002 +1.257717848e+002 +1.557417848e+002 +1.557417848e+002
6788 0 +1.199330471e+002 +1.199330471e+002 +1.499030471e+002 +1.499030471e+002
