% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (7.627000000000e+001) | measured fitness | best measured fitness | x1 | x2...
1 0 +5.568937070e+005 +5.568937070e+005 +5.569699770e+005 +5.569699770e+005 +1.2073e+000 +5.5100e-001 -2.0478e-001 +8.1194e-001 +9.3512e-001 -1.2628e+000 -1.9702e+000 -1.0360e+000 +1.9560e+000 +1.3951e-001
2 0 +1.293044072e+005 +1.293044072e+005 +1.293806772e+005 +1.293806772e+005 +2.1952e-001 +1.0320e+000 +3.5940e-001 -1.4292e+000 -2.6890e-001 -9.3858e-003 +1.3979e-001 -1.4088e-001 -5.4188e-001 +8.7195e-001
4 0 +1.480470647e+004 +1.480470647e+004 +1.488097647e+004 +1.488097647e+004 -2.2426e-001 +6.1878e-001 -5.0392e-001 +3.5432e-002 -9.7123e-002 +7.7304e-001 -3.3655e-001 -7.3645e-002 -1.1701e+000 -6.7084e-002
21 0 +1.352162437e+004 +1.352162437e+004 +1.359789437e+004 +1.359789437e+004 +1.0557e+000 -6.8498e-001 +1.7174e-001 -4.9884e-001 -1.3771e+000 +8.5323e-001 +1.5519e+000 +3.4964e-001 -5.1001e-001 +5.4698e-001
57 0 +9.117917594e+002 +9.117917594e+002 +9.880617594e+002 +9.880617594e+002 -9.7821e-002 -9.1083e-001 +7.4255e-001 -4.7935e-001 -9.3089e-001 -1.2257e+000 +7.2170e-001 -1.0193e-001 -5.4003e-001 +6.3005e-002
61 0 +5.115071220e+001 +5.115071220e+001 +1.274207122e+002 +1.274207122e+002 -2.8981e-001 -9.5738e-002 -1.1908e+000 -2.0045e+000 +6.3344e-002 +1.9312e+000 +1.2039e+000 +3.8921e-001 -4.3284e-001 +6.7381e-001
361 0 +3.067822356e+001 +3.067822356e+001 +1.069482236e+002 +1.069482236e+002 -9.9957e-001 -2.4583e-001 +2.5158e-002 -7.0853e-001 -1.1413e+000 -5.3537e-001 +8.3710e-001 -2.1033e-001 -1.2795e+000 +2.1262e+000
5757 0 +2.849080367e+001 +2.849080367e+001 +1.047608037e+002 +1.047608037e+002 -7.8947e-001 -8.0271e-002 -3.4584e-001 +9.6481e-001 -7.4809e-001 +7.0672e-001 +1.6320e-001 -8.2682e-001 -6.4820e-001 +1.1131e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-2.255000000000e+001) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.389223065e+003 +2.389223065e+003 +2.366673065e+003 +2.366673065e+003 +4.3149e-001 -7.9243e-001 -8.8485e-001 +2.2736e-001 +3.0117e-001 -5.8637e-001 +7.5613e-001 +1.5264e+000 -1.1221e+000 -9.8736e-001
33 0 +1.814782861e+003 +1.814782861e+003 +1.792232861e+003 +1.792232861e+003 -5.8768e-003 +1.9621e-001 -9.5397e-001 +2.1751e+000 +2.2363e-001 +9.4951e-001 +4.5382e-004 -9.5291e-001 +7.0919e-002 +4.7524e-002
75 0 +9.743867917e+002 +9.743867917e+002 +9.518367917e+002 +9.518367917e+002 -1.8401e+000 -6.4711e-001 +1.4563e+000 +9.5010e-001 +9.5164e-001 +2.3704e-002 -1.0747e+000 -2.8953e+000 -1.0757e+000 -1.9518e-001
157 0 +7.790542957e+002 +7.790542957e+002 +7.565042957e+002 +7.565042957e+002 +7.4924e-001 +1.0542e+000 -4.0079e-001 +4.7619e-002 -1.9144e+000 +1.8296e-001 +1.8628e-001 -4.0253e-001 +1.3416e-001 +3.4670e-001
203 0 +5.081283292e+001 +5.081283292e+001 +2.826283292e+001 +2.826283292e+001 +1.9150e-001 -1.9469e-001 +6.3301e-001 -3.5619e-001 +7.0539e-001 -7.1061e-001 +8.7696e-001 +2.6920e-001 -1.8851e-001 +1.3214e+000
606 0 +4.794519653e+001 +4.794519653e+001 +2.539519653e+001 +2.539519653e+001 -5.9655e-001 +6.6338e-001 +1.4984e+000 -8.8514e-001 -1.4101e+000 -1.3512e+000 -6.7382e-001 -1.1502e+000 +8.3479e-001 +1.3124e+000
834 0 +3.346561820e+001 +3.346561820e+001 +1.091561820e+001 +1.091561820e+001 -1.6540e-001 +1.2575e+000 +9.1953e-001 -4.1497e-001 +1.0065e+000 -4.3546e-001 -7.2347e-001 -9.7804e-001 +1.5092e-001 +5.3005e-001
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (1.366000000000e+001) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.198940999e+005 +1.198940999e+005 +1.199077599e+005 +1.199077599e+005 -4.6083e-001 +3.2161e-002 -1.8135e-001 +6.7436e-001 +2.3312e+000 +3.4720e-001 +1.7285e+000 +1.0602e+000 +1.4433e+000 +9.2149e-001
6 0 +8.216460382e+004 +8.216460382e+004 +8.217826382e+004 +8.217826382e+004 +9.2754e-002 +2.5180e-001 +4.3057e-002 +1.1039e+000 +1.3370e+000 -7.1173e-001 +9.2053e-001 -8.3651e-001 +1.0931e+000 +5.7996e-001
19 0 +1.236585661e+003 +1.236585661e+003 +1.250245661e+003 +1.250245661e+003 +8.2100e-001 -2.2678e-001 +4.4679e-001 +7.5642e-002 +9.0896e-001 -9.2263e-002 +2.2287e+000 -8.9107e-001 -2.0941e+000 +1.1766e+000
164 0 +1.136167196e+003 +1.136167196e+003 +1.149827196e+003 +1.149827196e+003 +1.5294e+000 +9.9700e-001 -2.7094e+000 +2.5567e+000 +8.6674e-001 +7.4521e-001 +1.1580e+000 -7.4722e-001 +9.1412e-001 -1.2446e+000
