% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-5.465000000000e+002) | measured fitness | best measured fitness | x1 | x2...
1 0 +7.839406125e+004 +7.839406125e+004 +7.784756125e+004 +7.784756125e+004 +4.1687e-001 -4.4653e-001 -8.5656e-002 -1.3118e-001 -1.3145e+000 -7.9979e-001 -1.1287e+000 +4.7684e-001 -1.5359e+000 -2.5673e-001 -1.5580e+000 -1.2195e+000 -1.2760e+000 +1.6816e-001 -6.4763e-001 +9.4882e-001 -3.7161e-001 -5.8792e-001 -5.7602e-001 -2.1305e+000
3 0 +6.315067597e+004 +6.315067597e+004 +6.260417597e+004 +6.260417597e+004 -1.2475e+000 +4.9240e-001 -7.7214e-001 -6.5136e-001 -7.2249e-001 +6.1174e-001 +1.5636e+000 -1.2244e+000 +1.1348e+000 -4.0934e-001 +1.7512e+000 +1.3232e-001 -5.7333e-001 +2.3194e-001 +4.8873e-001 -7.1136e-001 +7.2821e-002 -1.4701e-001 +8.5731e-001 -1.7403e+000
4 0 +6.217252241e+004 +6.217252241e+004 +6.162602241e+004 +6.162602241e+004 +1.1820e+000 +4.1748e-001 +1.6176e+000 -4.0306e-002 +2.7536e+000 -1.7473e+000 -3.6837e-001 -2.0803e-001 +7.7075e-002 -3.9329e-001 -7.6702e-001 -9.2951e-001 +2.7089e-001 +3.4505e-001 -8.8592e-001 -1.0836e+000 +1.1043e-001 +1.7742e+000 -1.3013e-001 -1.0584e+000
5 0 +3.655923799e+004 +3.655923799e+004 +3.601273799e+004 +3.601273799e+004 -1.9495e+000 +4.9703e-001 +2.7928e-001 +3.1547e-001 -4.4809e-001 +1.8663e+000 -6.6855e-002 +7.4767e-001 +6.8201e-001 -4.2409e-001 -1.9850e+000 -4.4334e-001 -2.7556e+000 -2.3686e+000 +8.1523e-002 -3.9743e-001 +8.5605e-001 -3.3296e-001 +3.9013e-001 +1.0811e+000
11 0 +3.217175791e+004 +3.217175791e+004 +3.162525791e+004 +3.162525791e+004 -1.6629e-001 -6.4587e-001 -2.6021e-001 -8.5519e-001 -1.3979e+000 +2.9982e-001 -1.2388e+000 -1.4213e+000 -1.7483e+000 -2.4207e+000 +6.8089e-001 -3.7200e-001 -1.2295e+000 -2.0285e-002 +2.9892e-001 +5.2466e-001 +5.5230e-001 +9.7726e-001 -1.0154e-001 +1.1762e+000
12 0 +2.710307066e+004 +2.710307066e+004 +2.655657066e+004 +2.655657066e+004 -5.9505e-001 +6.5146e-001 +2.7934e+000 +1.4783e+000 -3.4742e-001 -5.3837e-001 +1.6462e+000 -1.3182e+000 +6.3572e-001 -1.8767e-001 +3.5837e-001 -5.4016e-001 +2.9125e-001 +6.8472e-002 -3.9463e-001 +1.8442e-001 -1.0273e+000 -1.1903e+000 -7.4574e-001 -2.9310e-001
14 0 +1.909089506e+004 +1.909089506e+004 +1.854439506e+004 +1.854439506e+004 -1.3924e+000 +1.8515e+000 -7.1579e-001 -5.1680e-001 -1.5395e+000 +2.0754e+000 -1.5764e+000 +9.0280e-001 +1.2229e+000 -1.5915e-001 -1.7746e+000 +7.3860e-001 -2.8586e-001 -4.0534e-001 +1.3157e+000 -1.0971e+000 +8.9253e-001 -2.1532e-001 +5.0245e-001 +7.5616e-001
24 0 +1.242763775e+004 +1.242763775e+004 +1.188113775e+004 +1.188113775e+004 +1.1536e-001 +8.2518e-001 -1.1981e+000 +7.2170e-001 -6.5451e-001 -5.3422e-001 +1.2399e+000 -4.3815e-001 -9.3196e-001 +2.8291e-001 +1.6087e-001 -1.2333e-001 +3.7163e-002 +1.1481e+000 +1.6643e-001 -2.1312e+000 +7.1412e-001 +4.2425e-001 -1.0431e+000 +1.9056e+000
28 0 +8.294080304e+003 +8.294080304e+003 +7.747580304e+003 +7.747580304e+003 -2.1837e-001 -1.9940e-002 -1.9805e+000 -9.0659e-001 +2.0666e-001 -3.7337e-001 +2.7719e-001 -3.7487e-001 -7.2432e-002 +8.0707e-001 +1.8260e+000 -2.0389e-001 +1.0045e+000 -9.0460e-001 -3.6027e-001 -8.0874e-001 -8.0344e-001 -1.3010e+000 -3.4459e-001 +1.0368e+000
37 0 +3.211899571e+003 +3.211899571e+003 +2.665399571e+003 +2.665399571e+003 +1.2815e-001 +3.5065e-001 -6.1229e-001 -5.5497e-001 +2.2200e+000 -1.0941e+000 -1.4293e+000 -2.1209e-001 +9.3931e-001 +1.0074e+000 +6.4519e-001 +6.3700e-001 -5.7722e-001 -1.2456e+000 +2.3558e+000 -5.8185e-001 +1.0699e+000 -5.2294e-001 -4.3400e-001 +7.8530e-001
