% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-6.211100000000e+002) | measured fitness | best measured fitness | x1 | x2...
3522 0 +1.450625058e+001 +1.450625058e+001 -2.403137494e+002 -2.403137494e+002 +2.7244e+000 +1.2586e+000 -6.8392e-001
5080 0 +8.914373849e+000 +8.914373849e+000 -2.459056262e+002 -2.459056262e+002 +2.7118e+000 +1.2291e+000 -6.9397e-001
5527 0 +8.721235145e+000 +8.721235145e+000 -2.460987649e+002 -2.460987649e+002 +2.7087e+000 +1.2209e+000 -6.9774e-001
5814 0 +8.523779366e+000 +8.523779366e+000 -2.462962206e+002 -2.462962206e+002 +2.7165e+000 +1.2392e+000 -6.9279e-001
6048 0 +8.423367637e+000 +8.423367637e+000 -2.463966324e+002 -2.463966324e+002 +2.7104e+000 +1.2251e+000 -6.9655e-001
6171 0 +7.741693623e+000 +7.741693623e+000 -2.470783064e+002 -2.470783064e+002 +2.7121e+000 +1.2284e+000 -6.9514e-001
207117 0 +7.585697472e+000 +7.585697472e+000 -2.472343025e+002 -2.472343025e+002 +2.7182e+000 +1.2443e+000 -6.9048e-001
631982 0 +7.413026164e+000 +7.413026164e+000 -2.474069738e+002 -2.474069738e+002 +2.7289e+000 +1.2728e+000 -6.8257e-001
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (5.661000000000e+001) | measured fitness | best measured fitness | x1 | x2...
1 0 +5.001292517e+008 +5.001292517e+008 +5.001293083e+008 +5.001293083e+008 +1.4687e+000 +9.3140e-001 -6.5463e-001
2 0 +1.691766504e+008 +1.691766504e+008 +1.691767070e+008 +1.691767070e+008 -7.1691e-001 -1.3302e+000 +7.6435e-001
8 0 +1.532993569e+008 +1.532993569e+008 +1.532994136e+008 +1.532994136e+008 -1.2537e+000 -2.1915e+000 +1.5084e+000
14 0 +8.840723652e+007 +8.840723652e+007 +8.840729313e+007 +8.840729313e+007 +2.8305e-001 -1.2547e+000 -7.5692e-001
17 0 +4.485345844e+007 +4.485345844e+007 +4.485351505e+007 +4.485351505e+007 -8.3837e-001 -1.7526e+000 -6.5012e-001
28 0 +3.986215760e+007 +3.986215760e+007 +3.986221421e+007 +3.986221421e+007 -6.4588e-001 -1.8873e+000 -8.1508e-001
77 0 +2.843058645e+007 +2.843058645e+007 +2.843064306e+007 +2.843064306e+007 -1.4994e+000 -7.0383e-001 -2.0036e+000
101 0 +1.592466179e+007 +1.592466179e+007 +1.592471840e+007 +1.592471840e+007 -1.0318e-001 -4.0170e+000 -2.0246e+000
111 0 +1.017632594e+007 +1.017632594e+007 +1.017638255e+007 +1.017638255e+007 -4.2199e+000 -3.5769e+000 -9.0358e-001
121 0 +6.735881358e+006 +6.735881358e+006 +6.735937968e+006 +6.735937968e+006 -1.7427e+000 -2.5761e+000 -2.1590e+000
141 0 +3.741413447e+006 +3.741413447e+006 +3.741470057e+006 +3.741470057e+006 -2.1181e+000 -3.2813e+000 -2.6340e+000
174 0 +2.908560151e+006 +2.908560151e+006 +2.908616761e+006 +2.908616761e+006 -2.3466e+000 -2.1397e+000 -2.8136e+000
192 0 +2.315568398e+006 +2.315568398e+006 +2.315625008e+006 +2.315625008e+006 -1.5128e+000 -3.3121e+000 -3.5803e+000
211 0 +7.978788003e+005 +7.978788003e+005 +7.979354103e+005 +7.979354103e+005 -5.1532e+000 -7.7864e-001 -3.7582e+000
225 0 +1.788566421e+005 +1.788566421e+005 +1.789132521e+005 +1.789132521e+005 -5.2416e+000 -1.1184e+000 -3.4359e+000
318 0 +8.212969882e+004 +8.212969882e+004 +8.218630882e+004 +8.218630882e+004 -8.3168e-001 -4.7797e+000 -5.9114e+000
969 0 +9.972878771e+003 +9.972878771e+003 +1.002948877e+004 +1.002948877e+004 -2.6852e+000 -3.0717e+000 -4.3929e+000
1872 0 +9.746285668e+003 +9.746285668e+003 +9.802895668e+003 +9.802895668e+003 -2.1282e+000 -3.5377e+000 -4.9039e+000
2162 0 +7.001595026e+003 +7.001595026e+003 +7.058205026e+003 +7.058205026e+003 -5.6848e+000 -1.3305e+000 -3.1882e+000
2220 0 +6.259594964e+003 +6.259594964e+003 +6.316204964e+003 +6.316204964e+003 -4.7658e+000 -1.6336e+000 -3.4275e+000
2407 0 +3.689321073e+003 +3.689321073e+003 +3.745931073e+003 +3.745931073e+003 -3.7791e+000 -2.2794e+000 -3.9487e+000
2559 0 +1.377672941e+003 +1.377672941e+003 +1.434282941e+003 +1.434282941e+003 -4.3196e+000 -1.9179e+000 -3.5969e+000
3098 0 +2.998727557e+002 +2.998727557e+002 +3.564827557e+002 +3.564827557e+002 -3.5962e+000 -2.4196e+000 -3.9986e+000
3648 0 +2.113101692e+002 +2.113101692e+002 +2.679201692e+002 +2.679201692e+002 -3.7759e+000 -2.3166e+000 -3.8851e+000
3844 0 +1.144530919e+002 +1.144530919e+002 +1.710630919e+002 +1.710630919e+002 -3.5472e+000 -2.4394e+000 -4.0148e+000
4511 0 +7.329104569e+001 +7.329104569e+001 +1.299010457e+002 +1.299010457e+002 -3.8371e+000 -2.2985e+000 -3.8766e+000
5474 0 +8.665539865e+000 +8.665539865e+000 +6.527553986e+001 +6.527553986e+001 -3.8505e+000 -2.2788e+000 -3.8641e+000
6363 0 +6.327754502e+000 +6.327754502e+000 +6.293775450e+001 +6.293775450e+001 -3.8198e+000 -2.2997e+000 -3.8825e+000
6907 0 +9.476942050e-001 +9.476942050e-001 +5.755769421e+001 +5.755769421e+001 -3.7962e+000 -2.3091e+000 -3.8917e+000
6994 0 +5.054359877e-001 +5.054359877e-001 +5.711543599e+001 +5.711543599e+001 -3.8210e+000 -2.2961e+000 -3.8802e+000
10299 0 +4.962371786e-001 +4.962371786e-001 +5.710623718e+001 +5.710623718e+001 -3.8169e+000 -2.2973e+000 -3.8829e+000
10477 0 +4.612167099e-001 +4.612167099e-001 +5.707121671e+001 +5.707121671e+001 -3.8029e+000 -2.3056e+000 -3.8889e+000
10931 0 +3.840056095e-002 +3.840056095e-002 +5.664840056e+001 +5.664840056e+001 -3.7977e+000 -2.3075e+000 -3.8913e+000
11882 0 +1.732594164e-002 +1.732594164e-002 +5.662732594e+001 +5.662732594e+001 -3.8068e+000 -2.3030e+000 -3.8875e+000
13315 0 +4.453213576e-003 +4.453213576e-003 +5.661445321e+001 +5.661445321e+001 -3.8012e+000 -2.3057e+000 -3.8899e+000
14356 0 +3.174790383e-003 +3.174790383e-003 +5.661317479e+001 +5.661317479e+001 -3.8019e+000 -2.3053e+000 -3.8895e+000
14834 0 +3.009033769e-003 +3.009033769e-003 +5.661300903e+001 +5.661300903e+001 -3.8019e+000 -2.3053e+000 -3.8895e+000
356248 0 +2.951201597e-003 +2.951201597e-003 +5.661295120e+001 +5.661295120e+001 -3.8023e+000 -2.3052e+000 -3.8894e+000
790923 0 +2.883988284e-003 +2.883988284e-003 +5.661288399e+001 +5.661288399e+001 -3.8028e+000 -2.3049e+000 -3.8891e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.810000000000e+001) | measured fitness | best measured fitness | x1 | x2...
1 0 +1.041247707e+008 +1.041247707e+008 +1.041247526e+008 +1.041247526e+008 -2.6917e-001 -1.8383e+000 -3.6974e-001
2 0 +1.851750158e+007 +1.851750158e+007 +1.851748348e+007 +1.851748348e+007 +2.7945e-002 +1.4541e+000 -1.3836e-001
4 0 +1.048522013e+007 +1.048522013e+007 +1.048520203e+007 +1.048520203e+007 +2.3824e-001 +2.2594e-001 +3.1423e-001
6 0 +5.352914163e+006 +5.352914163e+006 +5.352896063e+006 +5.352896063e+006 -2.7288e-002 +1.3521e+000 +8.0666e-001
8 0 +4.804796885e+006 +4.804796885e+006 +4.804778785e+006 +4.804778785e+006 -2.9371e+000 -7.8837e-001 +1.5690e+000
9 0 +1.873888949e+006 +1.873888949e+006 +1.873870849e+006 +1.873870849e+006 +6.9893e-001 +2.8617e-001 +3.6059e+000
28 0 +7.960595189e+005 +7.960595189e+005 +7.960414189e+005 +7.960414189e+005 +1.0007e+000 +6.3387e-001 +1.9945e+000
112 0 +4.562888468e+005 +4.562888468e+005 +4.562707468e+005 +4.562707468e+005 +4.6126e-001 +1.2155e+000 +1.7508e+000
119 0 +3.772744525e+005 +3.772744525e+005 +3.772563525e+005 +3.772563525e+005 -1.6060e-001 +2.3288e-001 +2.5040e+000
135 0 +1.012700089e+005 +1.012700089e+005 +1.012519089e+005 +1.012519089e+005 -3.1739e-001 +4.1621e-001 +2.8901e+000
153 0 +1.353065839e+004 +1.353065839e+004 +1.351255839e+004 +1.351255839e+004 -2.3320e+000 -2.1125e-001 +3.5112e+000
1154 0 +5.291684727e+003 +5.291684727e+003 +5.273584727e+003 +5.273584727e+003 -2.8864e-001 +7.8953e-001 +2.6885e+000
1301 0 +2.465530150e+003 +2.465530150e+003 +2.447430150e+003 +2.447430150e+003 -1.3204e+000 +3.7263e-001 +3.1449e+000
2131 0 +1.296028437e+003 +1.296028437e+003 +1.277928437e+003 +1.277928437e+003 -1.3731e+000 +3.3947e-001 +3.1819e+000
2224 0 +8.676114333e+002 +8.676114333e+002 +8.495114333e+002 +8.495114333e+002 -1.5500e+000 +2.5327e-001 +3.3111e+000
2564 0 +3.518338812e+002 +3.518338812e+002 +3.337338812e+002 +3.337338812e+002 -1.3903e+000 +2.9359e-001 +3.2398e+000
2580 0 +2.063216234e+002 +2.063216234e+002 +1.882216234e+002 +1.882216234e+002 -1.6271e+000 +1.8470e-001 +3.3431e+000
2629 0 +1.474823833e+002 +1.474823833e+002 +1.293823833e+002 +1.293823833e+002 -1.5681e+000 +2.2937e-001 +3.3087e+000
3161 0 +5.294568071e+001 +5.294568071e+001 +3.484568071e+001 +3.484568071e+001 -1.4184e+000 +2.8977e-001 +3.2372e+000
3604 0 +2.894053451e+001 +2.894053451e+001 +1.084053451e+001 +1.084053451e+001 -1.2748e+000 +3.7796e-001 +3.1740e+000
3797 0 +2.576738383e+000 +2.576738383e+000 -1.552326162e+001 -1.552326162e+001 -1.5053e+000 +2.5058e-001 +3.2766e+000
4903 0 +2.175578948e+000 +2.175578948e+000 -1.592442105e+001 -1.592442105e+001 -1.3963e+000 +3.0772e-001 +3.2300e+000
5477 0 +1.461058407e+000 +1.461058407e+000 -1.663894159e+001 -1.663894159e+001 -1.4447e+000 +2.8280e-001 +3.2503e+000
5728 0 +1.067168065e+000 +1.067168065e+000 -1.703283194e+001 -1.703283194e+001 -1.4428e+000 +2.8454e-001 +3.2488e+000
6239 0 +1.004444010e+000 +1.004444010e+000 -1.709555599e+001 -1.709555599e+001 -1.4334e+000 +2.8961e-001 +3.2451e+000
102104 0 +9.999954785e-001 +9.999954785e-001 -1.710000452e+001 -1.710000452e+001 -1.4431e+000 +2.8437e-001 +3.2492e+000
