% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.815348227e+02 +9.815348227e+02 +1.097214823e+03 +1.097214823e+03 +1.5556e+00 -1.9186e-01 -2.9873e+00 +9.9568e-01 +4.4944e+00 +2.7313e+00 -3.1739e+00 -2.2512e+00 +1.6958e+00 +2.5124e+00
144 +6.200869607e+02 +6.200869607e+02 +7.357669607e+02 +7.357669607e+02 +9.7147e-01 +6.9258e-01 -1.2411e+00 +1.8663e+00 +4.4817e+00 -9.3708e-01 -4.6503e+00 +1.7074e+00 +4.0177e+00 -2.3057e+00
1464 +3.967169962e+02 +3.967169962e+02 +5.123969962e+02 +5.123969962e+02 -2.8982e+00 +4.4055e+00 -2.9036e+00 -2.4621e+00 +1.1719e+00 -3.3159e+00 -5.5878e-01 +3.1902e+00 +8.3306e-01 -4.2604e+00
7723 +2.458913150e+02 +2.458913150e+02 +3.615713150e+02 +3.615713150e+02 -4.0889e+00 -1.8210e+00 +5.5055e-01 +7.4731e-02 -2.0163e+00 -7.4296e-01 +1.9153e+00 +8.4994e-01 +2.8644e+00 -1.9916e+00
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.250599000e+03 +1.250599000e+03 +1.246889000e+03 +1.246889000e+03 -1.0614e+00 +3.1710e+00 +3.7646e+00 +1.7172e+00 -3.9997e+00 +4.2422e+00 -6.3081e-01 +6.8615e-01 -3.7381e+00 -6.2830e-01
12 +7.432087961e+02 +7.432087961e+02 +7.394987961e+02 +7.394987961e+02 -1.0345e+00 +3.1376e+00 +2.7646e+00 +1.7471e+00 -3.9375e+00 +4.1792e+00 -6.5478e-01 +7.1662e-01 -3.7062e+00 -5.9619e-01
23 +5.621106192e+02 +5.621106192e+02 +5.584006192e+02 +5.584006192e+02 -9.7965e-01 +3.0802e+00 +2.1310e+00 +1.8031e+00 -3.8201e+00 +4.2213e+00 -7.5734e-01 +7.7862e-01 -3.7046e+00 -3.4933e-01
397 +3.657022590e+02 +3.657022590e+02 +3.619922590e+02 +3.619922590e+02 +2.1561e+00 -3.0506e+00 +1.0270e+00 +1.1305e+00 +6.1436e-01 -1.7637e+00 -2.8216e+00 +2.7428e-01 +3.8555e-01 +3.4669e+00
1849 +1.811656290e+02 +1.811656290e+02 +1.774556290e+02 +1.774556290e+02 -6.9905e-01 -2.1773e+00 +8.1793e-01 +4.9346e-01 +3.3920e+00 +2.5880e+00 -1.5891e-01 -2.2925e+00 +6.4805e-01 +2.7892e+00
1915 +1.510648252e+02 +1.510648252e+02 +1.473548252e+02 +1.473548252e+02 -7.2748e-01 -2.1928e+00 +8.8199e-01 +4.9383e-01 +3.3939e+00 +2.6501e+00 -2.3813e-01 -2.3792e+00 +6.5621e-01 +2.8266e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.317737374e+02 +8.317737374e+02 +9.639537374e+02 +9.639537374e+02 -4.7803e+00 -1.1965e+00 +3.6793e+00 +3.5615e+00 -4.4679e+00 +1.1418e+00 -2.9582e+00 +2.8205e+00 -4.4064e+00 +3.5923e+00
529 +6.286906450e+02 +6.286906450e+02 +7.608706450e+02 +7.608706450e+02 -3.6150e+00 -2.7104e-02 +1.6908e+00 -2.7677e+00 +1.2542e+00 +1.6011e+00 +1.9463e+00 +1.2926e+00 +1.4973e+00 -3.6062e+00
606 +3.908727026e+02 +3.908727026e+02 +5.230527026e+02 +5.230527026e+02 -3.5560e+00 -1.3718e-01 +1.8402e+00 -2.2416e+00 +5.2537e-01 +9.9203e-01 +1.4914e+00 +1.8947e+00 +1.3472e+00 -2.8054e+00
3246 +2.440211911e+02 +2.440211911e+02 +3.762011911e+02 +3.762011911e+02 +1.8004e+00 -3.9603e+00 -3.1159e-01 -4.7547e+00 +1.4017e+00 +1.4457e+00 +2.3166e+00 -3.1785e+00 +1.1021e+00 +2.3290e+00
21693 +1.458312607e+02 +1.458312607e+02 +2.780112607e+02 +2.780112607e+02 -2.6228e+00 +1.5545e+00 +3.8706e-01 -7.3728e-01 +2.4981e-02 -5.5536e-01 +1.7667e+00 +2.1037e+00 -1.1637e+00 +7.2196e-01
% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.995456353e+02 +9.995456353e+02 +5.374556353e+02 +5.374556353e+02 -3.1501e+00 +3.6369e+00 +4.1259e-01 +3.8389e+00 +3.9789e+00 +9.5101e-01 +4.2053e-01 +3.6815e+00 +2.0562e-01 +2.6909e+00
309 +4.958954679e+02 +4.958954679e+02 +3.380546792e+01 +3.380546792e+01 -2.6990e+00 +3.8522e+00 +1.2999e+00 +2.8685e+00 +3.1875e+00 +1.1301e+00 -5.5097e-02 +3.5542e+00 +6.6415e-02 +3.6541e+00
