% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.615700343e+02 +8.615700343e+02 +7.279800343e+02 +7.279800343e+02 +3.4962e+00 -1.4714e+00 +2.5661e-02 -7.1639e-01 +2.0207e+00 +2.4305e+00 -4.2445e+00 +3.9940e-01 -2.5851e+00 +3.5847e+00 -3.1710e+00 +2.4411e+00 +1.6996e+00 -3.3289e+00 -3.8118e+00 +1.6634e+00 +4.1802e+00 +3.8869e+00 +3.6155e+00 +4.6337e+00
1093 +6.253931896e+02 +6.253931896e+02 +4.918031896e+02 +4.918031896e+02 +4.2957e+00 +1.8663e+00 +3.8280e-01 +1.6389e+00 -1.6548e+00 -1.7423e+00 +4.2316e+00 +2.2991e-01 -2.2696e+00 -3.4764e+00 -3.5979e+00 -3.5331e+00 +3.6239e+00 +4.0159e+00 -4.9607e+00 +9.1828e-01 +7.1386e-01 -3.5860e+00 -1.4830e+00 -2.7807e+00
5923 +3.887592635e+02 +3.887592635e+02 +2.551692635e+02 +2.551692635e+02 +3.0105e+00 -1.0971e+00 +1.5250e+00 +2.0307e+00 +3.4001e+00 -6.3050e-01 +9.2284e-02 +8.9222e-01 -2.9133e+00 -9.8077e-01 -2.3193e+00 +2.0027e+00 +5.6182e-01 -4.3930e+00 -1.7550e+00 +8.1119e-01 +8.3182e-01 -4.1567e+00 +1.4774e+00 -3.8368e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.402198437e+02 +9.402198437e+02 +1.135019844e+03 +1.135019844e+03 +3.1617e+00 +8.8302e-01 -1.1595e+00 +4.2529e+00 +2.9604e+00 -1.9366e+00 -2.6005e+00 -4.6389e+00 -1.0516e+00 +7.3793e-01 +3.1132e+00 -4.1724e+00 +3.7807e+00 -2.5403e+00 +2.6274e+00 +3.9877e+00 -3.4933e+00 -2.9663e+00 -3.7034e+00 +4.9715e+00
1576 +6.281103756e+02 +6.281103756e+02 +8.229103756e+02 +8.229103756e+02 +4.3950e+00 +1.5523e+00 +2.4860e+00 +4.6080e-01 -3.0510e+00 +1.0442e-01 +2.6853e+00 +4.7041e+00 -2.7319e+00 +8.0161e-01 +3.1462e+00 +4.5832e+00 -3.0317e+00 +1.3109e+00 -1.2941e+00 -1.5892e+00 -2.4924e+00 +5.1283e-01 -5.3547e-01 +4.3469e+00
34567 +3.962548480e+02 +3.962548480e+02 +5.910548480e+02 +5.910548480e+02 +4.1292e+00 +3.5250e+00 +1.5786e-01 -4.2377e+00 +3.0869e+00 +2.0720e+00 +1.9644e+00 +7.4370e-01 -7.6115e-01 +2.7498e+00 -2.4760e+00 +2.5619e+00 -9.0619e-02 +7.7222e-01 -5.4488e-01 -1.5346e-01 -1.2488e-01 +1.9906e+00 +2.5139e+00 -2.8588e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.132345900e+02 +7.132345900e+02 +5.796445900e+02 +5.796445900e+02 -6.1788e-01 +1.1556e+00 -2.2940e+00 -3.6039e+00 +2.0362e+00 -3.1314e+00 +2.3376e+00 -2.1094e+00 -3.5661e+00 -5.6522e-01 +2.8839e+00 +2.6183e-01 -3.6381e+00 +2.9097e+00 -2.7920e+00 -2.7834e+00 +1.8899e-01 -3.9125e+00 -3.1079e+00 -4.1918e+00
22 +5.778049146e+02 +5.778049146e+02 +4.442149146e+02 +4.442149146e+02 -6.3783e-01 +1.0739e+00 -2.3247e+00 -2.7373e+00 +1.7623e+00 -2.1314e+00 +2.1474e+00 -1.7955e+00 -2.9258e+00 -9.8278e-01 +3.2035e+00 -3.2624e-01 -3.5112e+00 +3.2693e+00 -2.6061e+00 -2.8556e+00 +3.7275e-01 -3.7184e+00 -2.5379e+00 -4.1553e+00
21736 +3.905845280e+02 +3.905845280e+02 +2.569945280e+02 +2.569945280e+02 -3.1751e-01 +2.4452e+00 +2.4485e+00 +1.9541e+00 +2.5362e+00 +1.0953e+00 +3.0071e-02 -3.5621e+00 -2.4426e+00 -3.9623e+00 +3.2499e+00 -1.6896e+00 +1.4013e+00 +3.0828e+00 -2.9832e-01 +9.0073e-03 +3.5510e+00 -2.5436e+00 -4.4588e-02 +1.7520e+00
